speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear,childLatJittered_day2,childLongJittered_day2,childLatJittered_day3,childLongJittered_day3
1202,2,F,white,Vet tech,assoc,3,3,Barre,rural,5641,VT,44.1888417,-72.4721672,Barre,rural,5641,VT,44.1888417,-72.4721672,Barre,5641.0,VT,2016_9_1_10_iDnTV,yes,MechanicalTurkProject,44.19398826935912,-72.4626009505036,1988.0,44.19521543408438,-72.35297695740829,44.19041841179472,-72.37652474693513
1203,3,M,white,IT Systems Admin,somecoll,2,3,Haverhill,suburban,1830,MA,42.7963128,-71.0534357,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Haverhill,1830.0,MA,2016_9_1_10_KxTmQ,yes,MechanicalTurkProject,42.79958639207765,-71.05503043639118,1966.0,42.80869893444747,-71.13293793280134,42.836507456591505,-71.07450094975364
1204,4,M,black,educator,grad,3,5,Hampden,rural,4444,ME,44.7289801,-68.9499635,Hampden,rural,4444,ME,44.7289801,-68.9499635,Poughkeepsie,,NY,2016_9_1_10_PLXdY,yes,MechanicalTurkProject,44.72628508998775,-68.95236245508032,1971.0,44.771697243920265,-69.02672491411546,44.7014041849229,-69.08668336011552
1205,5,F,white,Manager - Education,grad,2,5,Torrington,suburban,6790,CT,41.8340524,-73.1314132,Torrington,suburban,6790,CT,41.8340524,-73.1314132,Worcester,1606.0,MA,2016_9_1_10_QgLoq,yes,MechanicalTurkProject,41.8359375998115,-73.13575554545973,1979.0,41.82906226038914,-73.00269073323739,41.827919265469696,-73.03588134582182
1206,6,M,white,Social Worker,grad,3,5,Danbury,urban,6810,CT,41.3742839,-73.4576107,Bristol,urban,6010,CT,41.6815776,-72.9407487,Hartford,6101.0,CT,2016_9_1_10_sqfmo,yes,MechanicalTurkProject,41.380086505337445,-73.45239999169281,1987.0,41.384133928192526,-73.52692168982956,41.373278851936185,-73.48413830084266
1207,7,F,white,self-employed,somecoll,4,3,Johnston,suburban,2919,RI,41.8274402,-71.5198792,Lincoln,suburban,2865,RI,41.9131452,-71.44834,Lincoln,2865.0,RI,2016_9_1_10_UgNyQ,yes,MechanicalTurkProject,41.82361101672105,-71.51236861591603,1976.0,41.90541555139423,-71.50881617809152,41.9095410737755,-71.50768113937016
1208,8,F,white,marketing,bach,3,4,Roslindale,urban,2131,MA,42.2843326,-71.1262275,Roslindale,urban,2131,MA,42.2843326,-71.1262275,Ashland,1721.0,MA,2016_9_1_11_CnFcu,yes,MechanicalTurkProject,42.2842972981924,-71.1308603263227,1970.0,42.24591744151037,-71.07029861764302,42.24590640058925,-71.01122233809105
1209,9,F,white,manager,bach,2,4,brockton,urban,2302,MA,42.0881234,-70.9982927,brockton,urban,2302,MA,42.0881234,-70.9982927,brockton,5446.0,MA,2016_9_1_11_JsqqJ,yes,MechanicalTurkProject,42.08172991544192,-71.00223709275271,1987.0,42.07077102599841,-71.0419793836961,42.104284278272445,-70.96328977744525
1210,10,M,mixed,Student,bach,3,4,Everett,urban,2149,MA,42.4059375,-71.0546487,Peabody,suburban,1960,MA,42.5342016,-70.969734,Boston,2108.0,MA,2016_9_1_11_kgRbI,yes,MechanicalTurkProject,42.398960970066895,-71.05860185924561,1989.0,42.37635048892189,-71.02741192500731,42.290021121046486,-71.07792180805757
1211,11,F,white,Student,bach,3,4,Peabody,suburban,1960,MA,42.5342016,-70.969734,Peabody,suburban,1960,MA,42.5342016,-70.969734,Downtown Boston,2116.0,MA,2016_9_1_11_mRDIR,no,MechanicalTurkProject,42.53508127976972,-70.97335355708368,1987.0,42.46114822181077,-70.94861784916424,42.45834608580413,-70.92008023792302
1212,12,F,white,Director of Operations Performance Delivery,grad,2,5,Wethersfield,suburban,6109,CT,41.7024837,-72.6693014,Wethersfield,suburban,6109,CT,41.7024837,-72.6693014,Milford,3055.0,NH,2016_9_1_11_xcmPw,yes,MechanicalTurkProject,41.70922551402912,-72.66607110541973,1976.0,41.6275961174744,-72.71434043937111,41.649496259648885,-72.67703334839666
1213,13,F,white,Therapeutic Recreation Specialist,bach,3,4,Ellsworth,rural,4605,ME,44.6728094,-68.3918412,Ellsworth,rural,4605,ME,44.6728094,-68.3918412,Portland,4102.0,ME,2016_9_1_12_flJat,yes,MechanicalTurkProject,44.66560602889313,-68.38943729793979,1970.0,44.66774678716362,-68.41083179545022,44.690755961740955,-68.39975059659051
1214,14,F,white,cocktail waitress,bach,5,4,Williamsburg,rural,1096,MA,42.3971395,-72.7635717,Northampton,suburban,1060,MA,42.3214882,-72.6305882,Portland,4101.0,ME,2016_9_1_12_QSdbe,yes,MechanicalTurkProject,42.39389123397002,-72.76719128515704,1993.0,42.41380739545637,-72.75717889768765,42.408208383091534,-72.85225090548994
1215,15,F,white,self employed,bach,4,4,Quincy,urban,2169,MA,42.248386,-71.0022792,Quincy,urban,2169,MA,42.248386,-71.0022792,Middleborough,2346.0,MA,2016_9_1_13_bsEiD,yes,MechanicalTurkProject,42.24289613896201,-71.00246363899294,1963.0,42.26665985265822,-71.00766490946214,42.284503004089366,-71.06130042062263
1216,16,F,white,Merchandiser,assoc,3,3,Halifax,rural,2338,MA,42.003513,-70.8633336,Halifax,rural,2338,MA,42.003513,-70.8633336,Halifax,2338.0,MA,2016_9_1_13_FCNEv,yes,MechanicalTurkProject,41.997250610943205,-70.87258630464497,1987.0,42.00341008575912,-70.80322277585496,41.94526073724391,-70.70996160351267
1217,17,F,white,homemaker,high,4,2,Derry,suburban,3038,NH,42.8927614,-71.2767629,Derry,suburban,3038,NH,42.8927614,-71.2767629,Derry,3038.0,NH,2016_9_1_13_NZTPL,yes,MechanicalTurkProject,42.88589518350018,-71.2761136670015,1976.0,42.88810305718977,-71.29894478194652,42.86360875837676,-71.2819018440387
1218,18,M,white,Cashier,somecoll,5,3,Framingham,suburban,1701,MA,42.3201685,-71.440409,Framingham,suburban,1701,MA,42.3201685,-71.440409,Lowell,1854.0,MA,2016_9_1_13_TTIFR,yes,MechanicalTurkProject,42.31315002155915,-71.43780764329652,1996.0,42.36728507441572,-71.43225936276144,42.38906194454059,-71.41730721821499
1219,19,F,white,Management Supervisor,bach,2,4,New Milford,suburban,6776,CT,41.6013201,-73.4228319,New Milford,suburban,6776,CT,41.6013201,-73.4228319,Monroe,6468.0,CT,2016_9_1_13_uxPNA,no,MechanicalTurkProject,41.602326298590384,-73.4242813213053,1984.0,41.60573107440405,-73.39492986960151,41.58009569049654,-73.31659740550997
1220,20,F,white,Counselor,grad,3,5,Burlington,suburban,5401,VT,44.4766215,-73.2099981,Essex,suburban,5452,VT,44.5388717,-73.0500851,Burlington,5401.0,VT,2016_9_1_13_VHXGy,no,MechanicalTurkProject,44.483432893225086,-73.20379118986358,1988.0,44.502853644408006,-73.29573549685983,44.53525185854006,-73.18433811900101
1221,21,F,white,Laboratory Animal Technician,somecoll,3,3,Brewer,suburban,4412,ME,44.7846941,-68.7350722,Winterport,rural,4496,ME,44.6503837,-68.9088903,Winterport,4496.0,ME,2016_9_1_14_FkTos,yes,MechanicalTurkProject,44.79068862627069,-68.72729441733294,1981.0,44.79983548842214,-68.68057839598613,44.849378344296966,-68.64820945523476
1222,22,F,white,freelance consultant,bach,3,4,Brookline,suburban,2446,MA,42.3435034,-71.1222479,Brookline,suburban,2446,MA,42.3435034,-71.1222479,Boston,2119.0,MA,2016_9_1_14_JvEUr,no,MechanicalTurkProject,42.34103959973795,-71.1129255019683,1972.0,42.29480351598703,-71.0433626930744,42.30787156972164,-71.04421492324018
1223,23,F,black,Document & Data Management Specialist,somecoll,3,3,Providence,urban,2903,RI,41.8182303,-71.4090877,Providence,urban,2903,RI,41.8182303,-71.4090877,Providence,2908.0,RI,2016_9_1_14_lEFvy,yes,MechanicalTurkProject,41.82043933059333,-71.40560046304982,1980.0,41.87672354609917,-71.47144552057294,41.87975784675493,-71.54706213385658
1224,24,F,white,Transcriber,somecoll,4,3,Rockport,suburban,1966,MA,42.6407135,-70.620249,Rockport,suburban,1966,MA,42.6407135,-70.620249,Brooklyn,11233.0,NY,2016_9_1_14_MaKHo,yes,MechanicalTurkProject,42.64683921334203,-70.62871507154186,1992.0,42.64683921334203,-70.62871507154186,42.64683921334203,-70.62871507154186
1225,25,M,white,Director of Financial Aid,bach,2,4,Lynn,urban,1905,MA,42.4659985,-70.9757922,Lynn,urban,1905,MA,42.4659985,-70.9757922,Malden,2148.0,MA,2016_9_1_14_WDcDB,yes,MechanicalTurkProject,42.47034740518816,-70.98100949724999,1978.0,42.44796641646745,-71.01479569384041,42.4796437263734,-71.02980773441317
1226,26,F,black,ACTRESS,bach,1,4,BOSTON,urban,2125,MA,42.3157481,-71.0558957,DORCHESTER,urban,2120,MA,42.3320907,-71.0965454,BOSTON,2120.0,MA,2016_9_1_15_QaIGb,no,MechanicalTurkProject,42.32150257840358,-71.05479713110029,1989.0,42.29698844373283,-71.1231156104498,42.186894861127406,-71.15209560587783
1227,27,F,white,Greenskeeper,bach,4,4,Greenville,rural,4442,ME,45.497827,-69.7272741,Greenville,rural,4442,ME,45.497827,-69.7272741,Bath,4530.0,ME,2016_9_1_15_YAlZd,yes,MechanicalTurkProject,45.50422563594834,-69.72040362889487,1981.0,45.52625047638735,-69.72967721817949,45.441475669968234,-69.72649935493186
1228,28,F,white,manager,somecoll,2,3,Hamden,suburban,6518,CT,41.4308322,-72.9120209,Hamden,suburban,6518,CT,41.4308322,-72.9120209,New York City,10038.0,NY,2016_9_1_16_BYjSf,yes,MechanicalTurkProject,41.42564744856582,-72.91488962711006,1990.0,41.41830572403235,-72.93332183366071,41.45354355732375,-72.9469563716502
1229,29,F,white,Small Business Owner,bach,2,4,Colchester,suburban,5446,VT,44.5412554,-73.1844116,Woodbury,rural,5681,VT,44.4532088,-72.4071441,Burlington,5408.0,VT,2016_9_1_16_eFtsO,yes,MechanicalTurkProject,44.53625637101569,-73.17810421850635,1987.0,44.44842912716795,-73.09223700028849,44.504732305383705,-72.98405679411017
1230,30,F,white,Math Tutor,bach,3,4,Cromwell,suburban,6416,CT,41.6166566,-72.6615859,Oxford,suburban,6478,CT,41.4440006,-73.1479992,Oxford,6478.0,CT,2016_9_1_16_hJcBS,yes,MechanicalTurkProject,41.61759336257629,-72.67072982024192,1979.0,41.58703442385688,-72.72588396195627,41.65602462764381,-72.71598006892225
1231,31,F,white,Research Assistant,bach,3,4,Westwood,suburban,2090,MA,42.2196447,-71.2167692,Westwood,suburban,2090,MA,42.2196447,-71.2167692,Amherst,1002.0,MA,2016_9_1_17_KUjOB,yes,MechanicalTurkProject,42.22143067147102,-71.22135783824807,1993.0,42.160966220210575,-71.13146963936296,42.179100823262,-71.20999708725311
1232,32,M,white,Nurse,high,1,2,Warwick,suburban,2889,RI,41.7005907,-71.3769271,Warwick,suburban,2889,RI,41.7005907,-71.3769271,East Greenwich,2818.0,RI,2016_9_1_17_viNkx,yes,MechanicalTurkProject,41.70044122409428,-71.38091472265127,1997.0,41.72531092040244,-71.44464018428368,41.754446731088464,-71.48863102398926
1233,33,F,white,Quality Assurance,bach,3,4,Weston,suburban,6883,CT,41.2273991,-73.3665225,Weston,suburban,6883,CT,41.2273991,-73.3665225,Madison,53719.0,WI,2016_9_1_17_yYgvf,yes,MechanicalTurkProject,41.22103150706815,-73.37313036303243,1991.0,41.18449502531659,-73.40664724331069,41.24636600629766,-73.44686216658162
1234,34,F,white,administrative assistant,bach,3,4,Trumbull,suburban,6611,CT,41.2678613,-73.2136914,Trumbull,suburban,6611,CT,41.2678613,-73.2136914,Trumbull,6611.0,CT,2016_9_1_17_zDIEi,yes,MechanicalTurkProject,41.273178659509256,-73.21891688856915,1994.0,41.16824943280289,-73.28639960359006,41.23454382615138,-73.17769925977022
