 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1202,2,F,white,Vet tech,assoc,3,3,Barre,rural,5641,VT,44.1888417,-72.4721672,Barre,rural,5641,VT,44.1888417,-72.4721672,Barre,5641.0,VT,2016_9_1_10_iDnTV,yes,MechanicalTurkProject,44.1969042,-72.5007458
1203,3,M,white,IT Systems Admin,somecoll,2,3,Haverhill,suburban,1830,MA,42.7963128,-71.0534357,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Haverhill,1830.0,MA,2016_9_1_10_KxTmQ,yes,MechanicalTurkProject,42.7777829,-71.0767724
1204,4,M,black,educator,grad,3,5,Hampden,rural,4444,ME,44.7289801,-68.9499635,Hampden,rural,4444,ME,44.7289801,-68.9499635,Poughkeepsie,,NY,2016_9_1_10_PLXdY,yes,MechanicalTurkProject,41.7065539,-73.9283672
1205,5,F,white,Manager - Education,grad,2,5,Torrington,suburban,6790,CT,41.8340524,-73.1314132,Torrington,suburban,6790,CT,41.8340524,-73.1314132,Worcester,1606.0,MA,2016_9_1_10_QgLoq,yes,MechanicalTurkProject,42.2625621,-71.8018877
1206,6,M,white,Social Worker,grad,3,5,Danbury,urban,6810,CT,41.3742839,-73.4576107,Bristol,urban,6010,CT,41.6815776,-72.9407487,Hartford,6101.0,CT,2016_9_1_10_sqfmo,yes,MechanicalTurkProject,41.764582,-72.6908547
1207,7,F,white,self-employed,somecoll,4,3,Johnston,suburban,2919,RI,41.8274402,-71.5198792,Lincoln,suburban,2865,RI,41.9131452,-71.44834,Lincoln,2865.0,RI,2016_9_1_10_UgNyQ,yes,MechanicalTurkProject,41.9529237,-71.4663863
1208,8,F,white,marketing,bach,3,4,Roslindale,urban,2131,MA,42.2843326,-71.1262275,Roslindale,urban,2131,MA,42.2843326,-71.1262275,Ashland,1721.0,MA,2016_9_1_11_CnFcu,yes,MechanicalTurkProject,42.2599608,-71.4642596
1209,9,F,white,manager,bach,2,4,brockton,urban,2302,MA,42.0881234,-70.9982927,brockton,urban,2302,MA,42.0881234,-70.9982927,brockton,5446.0,MA,2016_9_1_11_JsqqJ,yes,MechanicalTurkProject,42.0834335,-71.0183787
1210,10,M,mixed,Student,bach,3,4,Everett,urban,2149,MA,42.4059375,-71.0546487,Peabody,suburban,1960,MA,42.5342016,-70.969734,Boston,2108.0,MA,2016_9_1_11_kgRbI,yes,MechanicalTurkProject,42.3554334,-71.060511
1211,11,F,white,Student,bach,3,4,Peabody,suburban,1960,MA,42.5342016,-70.969734,Peabody,suburban,1960,MA,42.5342016,-70.969734,Downtown Boston,2116.0,MA,2016_9_1_11_mRDIR,no,MechanicalTurkProject,42.353713,-71.0576247
